ORIGEM,DESTINO,NECESSIDADE
VECENTE PIRES,VICENTE PIRES,ILUMINAÇÃO PÚBLICA
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VICENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VICENTE PIRES,VICENTE PIRES,OUTROS
VICENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,ILUMINAÇÃO PÚBLICA
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,OUTROS
VECENTE PIRES,VICENTE PIRES,OUTROS
ESTRUTURAL,VICENTE PIRES,ACESSIBILIDADE
ESTRUTURAL,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,EDUCAÇÃO
VECENTE PIRES,VICENTE PIRES,CRECHE
VECENTE PIRES,VICENTE PIRES,ACESSIBILIDADE
VECENTE PIRES,VICENTE PIRES,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
VECENTE PIRES,VICENTE PIRES,ILUMINAÇÃO PÚBLICA
VECENTE PIRES,VICENTE PIRES,LIMPEZA URBANA
VECENTE PIRES,VICENTE PIRES,SINALIZAÇÃO URBANA (PLACAS e ETC)
VECENTE PIRES,VICENTE PIRES,TRANSPORTE PÚBLICO
VECENTE PIRES,VICENTE PIRES,SAÚDE
VECENTE PIRES,VICENTE PIRES,SEGURANÇA
VECENTE PIRES,VICENTE PIRES,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,EDUCAÇÃO
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,EDUCAÇÃO
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
26 DE SETEMBRO,26 DE SETEMBRO,EDUCAÇÃO
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,EDUCAÇÃO
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,OUTROS
26 DE SETEMBRO,26 DE SETEMBRO,EDUCAÇÃO
26 DE SETEMBRO,26 DE SETEMBRO,CRECHE
26 DE SETEMBRO,26 DE SETEMBRO,ACESSIBILIDADE
26 DE SETEMBRO,26 DE SETEMBRO,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,26 DE SETEMBRO,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,26 DE SETEMBRO,LIMPEZA URBANA
26 DE SETEMBRO,26 DE SETEMBRO,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,26 DE SETEMBRO,TRANSPORTE PÚBLICO
26 DE SETEMBRO,26 DE SETEMBRO,SAÚDE
26 DE SETEMBRO,26 DE SETEMBRO,SEGURANÇA
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,SEGURANÇA
ESTRUTURAL,27 DE SETEMBRO,LIMPEZA URBANA
ESTRUTURAL,27 DE SETEMBRO,TRANSPORTE PÚBLICO
ESTRUTURAL,27 DE SETEMBRO,SEGURANÇA
ESTRUTURAL,27 DE SETEMBRO,OUTROS
ESTRUTURAL,ESTRUTURAL,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ESTRUTURAL,ESTRUTURAL,ILUMINAÇÃO PÚBLICA
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,TAGUATINGA,SAÚDE
ESTRUTURAL,TAGUATINGA,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,26 DE SETEMBRO,ACESSIBILIDADE
ESTRUTURAL,26 DE SETEMBRO,LIMPEZA URBANA
ESTRUTURAL,26 DE SETEMBRO,SEGURANÇA
ESTRUTURAL,26 DE SETEMBRO,OUTROS
ESTRUTURAL,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
ESTRUTURAL,TAGUATINGA,SAÚDE
ESTRUTURAL,TAGUATINGA,SEGURANÇA
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,SEGURANÇA
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,LIMPEZA URBANA
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,SEGURANÇA
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,CRECHE
ESTRUTURAL,ESTRUTURAL,SEGURANÇA
ESTRUTURAL,ESTRUTURAL,EDUCAÇÃO
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,SETOR LESTE,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
ESTRUTURAL,SETOR LESTE,LIMPEZA URBANA
ESTRUTURAL,SETOR LESTE,TRANSPORTE PÚBLICO
ESTRUTURAL,SETOR LESTE,SAÚDE
ESTRUTURAL,SETOR LESTE,SEGURANÇA
ESTRUTURAL,SETOR LESTE,OUTROS
SETOR LESTE,SETOR LESTE,LIMPEZA URBANA
SETOR LESTE,SETOR LESTE,SEGURANÇA
SETOR LESTE,SETOR LESTE,OUTROS
SETOR LESTE,ESTRUTURAL,ACESSIBILIDADE
SETOR LESTE,ESTRUTURAL,SEGURANÇA
SETOR LESTE,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,SAÚDE
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,ESTRUTURAL,OUTROS
ESTRUTURAL,TAGUATINGA,TRANSPORTE PÚBLICO
ESTRUTURAL,TAGUATINGA,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,EDUCAÇÃO
ÁGUAS CLARAS,ÁGUAS CLARAS,LIMPEZA URBANA
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
PONTE ALTA,ÁGUAS CLARAS,OUTROS
PONTE ALTA,ÁGUAS CLARAS,OUTROS
PONTE ALTA,ÁGUAS CLARAS,OUTROS
PONTE ALTA,ÁGUAS CLARAS,OUTROS
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,ACESSIBILIDADE
ÁGUAS CLARAS,ÁGUAS CLARAS,TRANSPORTE PÚBLICO
ÁGUAS CLARAS,ÁGUAS CLARAS,ACESSIBILIDADE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,SEM REGISTRO,SEGURANÇA
ÁGUAS CLARAS,SEM REGISTRO,OUTROS
ÁGUAS CLARAS,SEM REGISTRO,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,ACESSIBILIDADE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
SOL NASCENTE,TAGUATINGA,TRANSPORTE PÚBLICO
SOL NASCENTE,TAGUATINGA,SEGURANÇA
SOL NASCENTE,TAGUATINGA,OUTROS
VICENTE PIRES,ÁGUAS CLARAS,ACESSIBILIDADE
VICENTE PIRES,ÁGUAS CLARAS,OUTROS
VICENTE PIRES,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,EDUCAÇÃO
ÁGUAS CLARAS,ÁGUAS CLARAS,SAÚDE
ÁGUAS CLARAS,ÁGUAS CLARAS,SAÚDE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,OUTROS
ÁGUAS CLARAS,ÁGUAS CLARAS,EDUCAÇÃO
ÁGUAS CLARAS,ÁGUAS CLARAS,ILUMINAÇÃO PÚBLICA
ÁGUAS CLARAS,ÁGUAS CLARAS,SAÚDE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,EDUCAÇÃO
ÁGUAS CLARAS,ÁGUAS CLARAS,SAÚDE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
ÁGUAS CLARAS,ÁGUAS CLARAS,EDUCAÇÃO
ÁGUAS CLARAS,ÁGUAS CLARAS,SAÚDE
ÁGUAS CLARAS,ÁGUAS CLARAS,ACESSIBILIDADE
ÁGUAS CLARAS,ÁGUAS CLARAS,SEGURANÇA
