ORIGEM,DESTINO,NECESSIDADE
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,SEGURANÇA
SAMAMBAIA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
CEILÂNDIA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
CEILÂNDIA,TAGUATINGA,SEGURANÇA
CEILÂNDIA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,CRECHE
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,EDUCAÇÃO
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,CRECHE
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,ACESSIBILIDADE
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,ILUMINAÇÃO PÚBLICA
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,LIMPEZA URBANA
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,TRANSPORTE PÚBLICO
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,SAÚDE
SANTO ANTÔNIO DO DESCOBERTO,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,LIMPEZA URBANA
TAGUATINGA,TAGUATINGA,SAÚDE
M. NORTE,TAGUATINGA,OUTROS
M. NORTE,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,OUTROS
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
26 DE SETEMBRO,TAGUATINGA,EDUCAÇÃO
26 DE SETEMBRO,TAGUATINGA,CRECHE
26 DE SETEMBRO,TAGUATINGA,ACESSIBILIDADE
26 DE SETEMBRO,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,TAGUATINGA,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,TAGUATINGA,LIMPEZA URBANA
26 DE SETEMBRO,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,TAGUATINGA,TRANSPORTE PÚBLICO
26 DE SETEMBRO,TAGUATINGA,SAÚDE
26 DE SETEMBRO,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,SAÚDE
TAGUATINGA,TAGUATINGA,SEGURANÇA
SOL NASCENTE,TAGUATINGA,EDUCAÇÃO
SOL NASCENTE,TAGUATINGA,CRECHE
SOL NASCENTE,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
SOL NASCENTE,TAGUATINGA,ILUMINAÇÃO PÚBLICA
SOL NASCENTE,TAGUATINGA,LIMPEZA URBANA
SOL NASCENTE,TAGUATINGA,TRANSPORTE PÚBLICO
SOL NASCENTE,TAGUATINGA,SAÚDE
SOL NASCENTE,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,EDUCAÇÃO
TAGUATINGA,TAGUATINGA,TRANSPORTE PÚBLICO
TAGUATINGA,TAGUATINGA,SAÚDE
CEILÂNDIA,TAGUATINGA,EDUCAÇÃO
CEILÂNDIA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
CEILÂNDIA,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
CEILÂNDIA,TAGUATINGA,SAÚDE
CEILÂNDIA,TAGUATINGA,SEGURANÇA
BRAZLÂNDIA,TAGUATINGA,ACESSIBILIDADE
BRAZLÂNDIA,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
BRAZLÂNDIA,TAGUATINGA,ILUMINAÇÃO PÚBLICA
BRAZLÂNDIA,TAGUATINGA,LIMPEZA URBANA
BRAZLÂNDIA,TAGUATINGA,TRANSPORTE PÚBLICO
BRAZLÂNDIA,TAGUATINGA,SEGURANÇA
SETOR,TAGUATINGA,CRECHE
SETOR,TAGUATINGA,SEGURANÇA
26 DE SETEMBRO,TAGUATINGA,EDUCAÇÃO
26 DE SETEMBRO,TAGUATINGA,CRECHE
26 DE SETEMBRO,TAGUATINGA,ACESSIBILIDADE
26 DE SETEMBRO,TAGUATINGA,CONSERVAÇÃO E MANUTENÇÃO DE VIAS PÚBLICAS
26 DE SETEMBRO,TAGUATINGA,ILUMINAÇÃO PÚBLICA
26 DE SETEMBRO,TAGUATINGA,LIMPEZA URBANA
26 DE SETEMBRO,TAGUATINGA,SINALIZAÇÃO URBANA (PLACAS e ETC)
26 DE SETEMBRO,TAGUATINGA,TRANSPORTE PÚBLICO
26 DE SETEMBRO,TAGUATINGA,SAÚDE
26 DE SETEMBRO,TAGUATINGA,SEGURANÇA
TAGUATINGA,TAGUATINGA,ACESSIBILIDADE
TAGUATINGA,TAGUATINGA,SAÚDE
