ORIGEM,DESTINO
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,NÃO INFORMADO
ÁGUAS CLARAS,ÁGUAS CLARAS
SOL NASCENTE,TAGUATINGA
VICENTE PIRES,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
ÁGUAS CLARAS,ÁGUAS CLARAS
